lat,long,diameter
14.0,15.0,32.56698544176895
3.0,183.0,10.217907939900583
10.0,202.0,21.909160375631842
9.0,225.0,16.50676414605009
6.0,263.0,18.26441241104166
10.0,82.0,16.583719174624104
22.0,174.0,17.407785949022028
35.0,285.0,26.726155439876237
21.0,263.0,10.155412503859614
23.0,240.0,10.940041919714261
24.0,156.0,8.740387444736633
45.0,124.0,19.182445840623714
31.0,46.0,8.368283871884005
31.0,219.0,7.978845608028654
39.0,15.0,7.569397566060481
42.0,240.0,11.055812783082736
46.0,73.0,13.727325035155395
49.0,199.0,15.512648837479231
48.0,216.0,4.787307364817192
52.0,150.0,6.180387232371033
55.0,31.0,6.955796338302048
55.0,100.0,7.569397566060481
68.0,184.0,17.66192765414112
63.0,260.0,14.27299292922217
64.0,69.0,8.368283871884005
63.0,286.0,5.170882945826411
67.0,222.0,9.23618154310838
77.0,124.0,9.0270333367641
80.0,80.0,17.334489682638438
107.0,269.0,48.54653846882171
95.0,159.0,13.303394180365686
94.0,134.0,6.863662517577698
98.0,48.0,11.055812783082736
103.0,105.0,14.228319915326999
104.0,19.0,5.970821321441846
106.0,232.0,9.640875829802336
117.0,90.0,10.217907939900583
118.0,172.0,5.970821321441846
124.0,132.0,7.312732791431452
126.0,71.0,11.617374563210365
125.0,210.0,9.574614729634384
128.0,38.0,10.02925341359355
136.0,225.0,7.046725639945928
138.0,157.0,7.136496464611085
144.0,180.0,20.928315827817965
138.0,242.0,7.48482063701911
153.0,281.0,33.244126170349574
140.0,89.0,4.918490759365935
147.0,60.0,10.704744696916627
147.0,132.0,14.494292838262302
150.0,146.0,6.955796338302048
151.0,156.0,6.6755811781245455
153.0,18.0,8.291859587312052
156.0,39.0,9.574614729634384
154.0,109.0,4.068428945128219
162.0,205.0,16.11647812414279
162.0,241.0,12.360774464742066
163.0,99.0,6.770275002573076
166.0,14.0,10.155412503859614
163.0,59.0,5.292567428401227
166.0,139.0,9.166995688475081
169.0,188.0,15.67594437773643
177.0,123.0,17.94796937867892
177.0,212.0,19.706294962377495
180.0,258.0,20.83685880248485
205.0,146.0,43.02662313085849
181.0,82.0,10.585134856802455
181.0,294.0,6.770275002573076
192.0,94.0,19.706294962377495
191.0,19.0,17.297725082009
198.0,190.0,19.576646877473273
194.0,73.0,12.309163489997376
206.0,45.0,10.998079684646791
206.0,129.0,8.214724333230155
210.0,290.0,11.617374563210365
214.0,113.0,13.159049284959082
211.0,248.0,6.770275002573076
215.0,78.0,8.95623198216277
218.0,31.0,4.787307364817192
221.0,99.0,10.155412503859614
228.0,196.0,22.34076770248023
228.0,11.0,20.153496341094687
231.0,226.0,14.317526556719258
232.0,79.0,10.704744696916627
232.0,275.0,8.740387444736633
232.0,176.0,5.292567428401227
234.0,247.0,8.444016491289505
